id,conceito,origens_na_tese,secao_anexo,subsecao_anexo,label_anexo,linha_tex,remissao_latex
M02.03,Combustíveis em gás natural equivalente,sec:metricas,Grandezas físicas e indicadores energéticos,Conversão em gás natural equivalente,sec:mat-gne,154,Secção~\ref{sec:mat-gne}
M02.04,Produto de médias versus energia integrada,"sec:fontes,sec:metricas",Grandezas físicas e indicadores energéticos,Energia integrada e produto de agregados,sec:mat-produto-medias,183,Secção~\ref{sec:mat-produto-medias}
M02.05,Vapor por nível de pressão e energia equivalente,"sec:modelo-dimensional,sec:metricas",Grandezas físicas e indicadores energéticos,Conversão em gás natural equivalente,sec:mat-gne,154,Secção~\ref{sec:mat-gne}
M02.06,Eletricidade e rendimento de conversão,sec:metricas,Grandezas físicas e indicadores energéticos,Conversão em gás natural equivalente,sec:mat-gne,154,Secção~\ref{sec:mat-gne}
M02.07,"Massa, volume, densidade e barris",sec:metricas,Grandezas físicas e indicadores energéticos,"Massa, volume e transformações operacionais",sec:mat-transformacoes,194,Secção~\ref{sec:mat-transformacoes}
M02.08,"Transformações API, temperatura, pressão e rendimentos","sec:metricas,sec:suficiencia",Grandezas físicas e indicadores energéticos,"Massa, volume e transformações operacionais",sec:mat-transformacoes,194,Secção~\ref{sec:mat-transformacoes}
M02.09,Consumo específico e média ponderada,"sec:enb-cadeia,sec:metricas,sec:dashboard",Grandezas físicas e indicadores energéticos,"Consumo específico, normalização e EII",sec:mat-indicadores,207,Secção~\ref{sec:mat-indicadores}
M02.10,Normalização energética e desvio à referência,"sec:enb-par,sec:metricas,sec:leitura-integrada",Grandezas físicas e indicadores energéticos,"Consumo específico, normalização e EII",sec:mat-indicadores,207,Secção~\ref{sec:mat-indicadores}
M02.11,"EII: razão, energia padrão e função da CDU","sec:metricas,sec:dashboard",Grandezas físicas e indicadores energéticos,"Consumo específico, normalização e EII",sec:mat-indicadores,207,Secção~\ref{sec:mat-indicadores}
M02.12,"Agregação de EII, quartis e decomposição por vetor","sec:metricas,sec:dashboard",Grandezas físicas e indicadores energéticos,"Consumo específico, normalização e EII",sec:mat-indicadores,207,Secção~\ref{sec:mat-indicadores}
M02.13,Emissões calculadas e âmbito dos fatores,"sec:metricas,sec:dashboard",Grandezas físicas e indicadores energéticos,Emissões calculadas,sec:mat-emissoes,236,Secção~\ref{sec:mat-emissoes}
M03.01,Conjuntos de publicações e fluxo PRISMA,"sec:pesquisa,sec:corpus-a","Contagens, bibliometria e redes","Conjuntos, denominadores e disponibilidade",sec:mat-contagens,251,Secção~\ref{sec:mat-contagens}
M03.02,Recuperação de textos e disponibilidade por grupo,"sec:pesquisa,sec:corpus-a","Contagens, bibliometria e redes","Conjuntos, denominadores e disponibilidade",sec:mat-contagens,251,Secção~\ref{sec:mat-contagens}
M03.03,Frequências multirrótulo e cruzamentos,sec:corpus-a,"Contagens, bibliometria e redes","Conjuntos, denominadores e disponibilidade",sec:mat-contagens,251,Secção~\ref{sec:mat-contagens}
M03.04,Interseções exatas e contagem fracionada,sec:corpus-a,"Contagens, bibliometria e redes","Conjuntos, denominadores e disponibilidade",sec:mat-contagens,251,Secção~\ref{sec:mat-contagens}
M03.05,Matrizes de incidência e projeções de rede,sec:corpus-a,"Contagens, bibliometria e redes",Matrizes de incidência e redes de citação,sec:mat-redes,264,Secção~\ref{sec:mat-redes}
M03.06,"Citação direta, acoplamento e cocitação",sec:corpus-a,"Contagens, bibliometria e redes",Matrizes de incidência e redes de citação,sec:mat-redes,264,Secção~\ref{sec:mat-redes}
M03.07,Modularidade e comunidades,sec:corpus-a,"Contagens, bibliometria e redes",Comunidades e posição dos nós,sec:mat-modularidade,277,Secção~\ref{sec:mat-modularidade}
M03.08,TF–IDF e fatorização não negativa de tópicos,sec:corpus-a,"Contagens, bibliometria e redes",TF--IDF e tópicos exploratórios,sec:mat-topicos,288,Secção~\ref{sec:mat-topicos}
M03.09,"Evolução temporal, citações e concentração",sec:corpus-a,"Contagens, bibliometria e redes","Conjuntos, denominadores e disponibilidade",sec:mat-contagens,251,Secção~\ref{sec:mat-contagens}
M04.01,"Taxas de divergência, alteração e fundamentação","sec:pesquisa,app:validacao",Auditoria da revisão e controlo da extração,"Divergência, alteração e cobertura humana",sec:mat-auditoria-taxas,306,Secção~\ref{sec:mat-auditoria-taxas}
M04.02,"União de detetores, censos e fecho iterativo","sec:pesquisa,app:validacao",Auditoria da revisão e controlo da extração,"Divergência, alteração e cobertura humana",sec:mat-auditoria-taxas,306,Secção~\ref{sec:mat-auditoria-taxas}
M04.03,Amostragem aleatória de artigos e erro por campo,app:validacao,Auditoria da revisão e controlo da extração,Unidade de amostragem e definição de erro,sec:mat-auditoria-amostra,315,Secção~\ref{sec:mat-auditoria-amostra}
M04.04,Erro binário e dados multisseleção,app:validacao,Auditoria da revisão e controlo da extração,Unidade de amostragem e definição de erro,sec:mat-auditoria-amostra,315,Secção~\ref{sec:mat-auditoria-amostra}
M04.05,"Modelo binomial, intervalo Clopper–Pearson e população finita","app:validacao,sec:protocolo-baselines",Auditoria da revisão e controlo da extração,Intervalos exatos e ausência de erros observados,sec:mat-clopper-pearson,329,Secção~\ref{sec:mat-clopper-pearson}
M04.06,"Zero erros, limite unilateral e tamanho amostral",app:validacao,Auditoria da revisão e controlo da extração,Intervalos exatos e ausência de erros observados,sec:mat-clopper-pearson,329,Secção~\ref{sec:mat-clopper-pearson}
M04.07,Gatilhos de revisão e probabilidade de acionamento,app:validacao,Auditoria da revisão e controlo da extração,Gatilhos de revisão,sec:mat-gatilhos,354,Secção~\ref{sec:mat-gatilhos}
M04.08,"Repetição, instabilidade e limites do recall","app:validacao,app:protocolo-sr",Auditoria da revisão e controlo da extração,"Divergência, alteração e cobertura humana",sec:mat-auditoria-taxas,306,Secção~\ref{sec:mat-auditoria-taxas}
M05.01,"Modelo linear, matriz de desenho e mínimos quadrados","sec:enb-cadeia,sec:replicacao,sec:suficiencia","Regressão, estimação e modelos comparadores",Modelo linear e mínimos quadrados,sec:mat-ols,369,Secção~\ref{sec:mat-ols}
M05.02,"RSS, TSS, R² e R² fora do treino","sec:enb-cadeia,sec:replicacao,sec:poder-preditivo","Regressão, estimação e modelos comparadores",Modelo linear e mínimos quadrados,sec:mat-ols,369,Secção~\ref{sec:mat-ols}
M05.03,Escala residual e graus de liberdade,"sec:replicacao,sec:metricas","Regressão, estimação e modelos comparadores",Modelo linear e mínimos quadrados,sec:mat-ols,369,Secção~\ref{sec:mat-ols}
M05.04,"Reta pela origem, constante e rácio específico","sec:corpus-a,sec:referencia-fixa","Regressão, estimação e modelos comparadores","Modelos constantes, pela origem e com covariáveis",sec:mat-modelos-comparadores,404,Secção~\ref{sec:mat-modelos-comparadores}
M05.05,Modelos encaixados e valor incremental de covariáveis,"sec:suficiencia,sec:guidelines","Regressão, estimação e modelos comparadores","Modelos constantes, pela origem e com covariáveis",sec:mat-modelos-comparadores,404,Secção~\ref{sec:mat-modelos-comparadores}
M05.06,"Huber, perda robusta e escala MAD","sec:guidelines,sec:demo-robustos","Regressão, estimação e modelos comparadores",Huber e Theil--Sen,sec:mat-robustos,417,Secção~\ref{sec:mat-robustos}
M05.07,Theil–Sen e convenção do intercepto,"sec:guidelines,sec:demo-robustos","Regressão, estimação e modelos comparadores",Huber e Theil--Sen,sec:mat-robustos,417,Secção~\ref{sec:mat-robustos}
M05.08,"GAM, bases spline, penalização e graus de liberdade efetivos",sec:verdade-conhecida,"Regressão, estimação e modelos comparadores",Modelos aditivos e penalização,sec:mat-gam,444,Secção~\ref{sec:mat-gam}
M05.09,"Erro de medição, endogeneidade e causalidade","sec:suficiencia,sec:limitacoes","Regressão, estimação e modelos comparadores",Limites da interpretação dos coeficientes,sec:mat-causalidade,461,Secção~\ref{sec:mat-causalidade}
M06.01,"Treino, aplicação e informação disponível","sec:protocolo-baselines,sec:poder-preditivo","Avaliação temporal, perdas e comparação",Treino e informação disponível,sec:mat-tempo,478,Secção~\ref{sec:mat-tempo}
M06.02,Referências triviais e respetivos domínios,sec:poder-preditivo,"Avaliação temporal, perdas e comparação",Treino e informação disponível,sec:mat-tempo,478,Secção~\ref{sec:mat-tempo}
M06.03,"MAE, RMSE, viés, NMBE e CV(RMSE)","sec:assimetria-comparacao,sec:poder-preditivo","Avaliação temporal, perdas e comparação",Perdas e estimandos emparelhados,sec:mat-perdas,502,Secção~\ref{sec:mat-perdas}
M06.04,Diferença emparelhada de perdas e skill,"sec:poder-preditivo,sec:suficiencia,sec:demo-robustos","Avaliação temporal, perdas e comparação",Perdas e estimandos emparelhados,sec:mat-perdas,502,Secção~\ref{sec:mat-perdas}
M06.05,Cross-fitting em blocos e estimação de escala,"sec:protocolo-baselines,sec:referencia-fixa","Avaliação temporal, perdas e comparação",Escala por exclusão de blocos,sec:mat-crossfit,523,Secção~\ref{sec:mat-crossfit}
M06.06,"Referência fixa, reajustes móveis e janela expansiva",sec:referencia-fixa,"Avaliação temporal, perdas e comparação",Treino e informação disponível,sec:mat-tempo,478,Secção~\ref{sec:mat-tempo}
M06.07,Grelha de sensibilidade e mudança de estimando,"sec:protocolo-baselines,sec:sintese-modos-falha","Avaliação temporal, perdas e comparação",Sensibilidade e comparabilidade,sec:mat-sensibilidade,533,Secção~\ref{sec:mat-sensibilidade}
M07.01,"Intervalos de confiança, hipóteses e valores p","sec:enb-cadeia,sec:protocolo-baselines,sec:limitacoes",Inferência sob dependência e multiplicidade,"Hipóteses, intervalos e valores p",sec:mat-interpretacao-inferencia,543,Secção~\ref{sec:mat-interpretacao-inferencia}
M07.02,Covariância HAC e kernel quadrático-espectral,"sec:protocolo-baselines,sec:estabilidade",Inferência sob dependência e multiplicidade,Covariância HAC e largura de banda,sec:mat-hac,548,Secção~\ref{sec:mat-hac}
M07.03,"Wald empilhado, contrastes de declive e nível",sec:estabilidade,Inferência sob dependência e multiplicidade,Contrastes entre anos e teste de Wald,sec:mat-wald,575,Secção~\ref{sec:mat-wald}
M07.04,"Benjamini–Hochberg, Benjamini–Yekutieli e FDR","sec:protocolo-baselines,sec:estabilidade",Inferência sob dependência e multiplicidade,Famílias de testes e FDR,sec:mat-fdr,587,Secção~\ref{sec:mat-fdr}
M07.05,Bootstrap de blocos móveis em calendário irregular,"sec:protocolo-baselines,sec:poder-preditivo",Inferência sob dependência e multiplicidade,Bootstrap de blocos em calendário irregular,sec:mat-mbb,600,Secção~\ref{sec:mat-mbb}
M07.06,"Intervalos percentil, objeto reamostrado e condicionamento","sec:protocolo-baselines,sec:calibracao",Inferência sob dependência e multiplicidade,Bootstrap de blocos em calendário irregular,sec:mat-mbb,600,Secção~\ref{sec:mat-mbb}
M07.07,Bootstrap residual sob hipótese nula,sec:estabilidade,Inferência sob dependência e multiplicidade,Bootstrap sob a hipótese nula,sec:mat-bootstrap-nulo,624,Secção~\ref{sec:mat-bootstrap-nulo}
M07.08,Cobertura simulada de intervalos e erro Monte Carlo,"sec:protocolo-baselines,sec:limitacoes",Inferência sob dependência e multiplicidade,Cobertura simulada e erro Monte Carlo,sec:mat-cobertura-mc,636,Secção~\ref{sec:mat-cobertura-mc}
M08.01,Diferença padronizada de médias,sec:perfil-dados,Diagnósticos dos dados e dos resíduos,Separação de populações e suporte,sec:mat-suporte,651,Secção~\ref{sec:mat-suporte}
M08.02,"ACF, PACF e dimensão amostral efetiva","sec:perfil-dados,sec:diagnosticos-desc",Diagnósticos dos dados e dos resíduos,Dependência temporal,sec:mat-acf,670,Secção~\ref{sec:mat-acf}
M08.03,Durbin–Watson e Ljung–Box,sec:diagnosticos-desc,Diagnósticos dos dados e dos resíduos,Dependência temporal,sec:mat-acf,670,Secção~\ref{sec:mat-acf}
M08.04,"Heterocedasticidade, Breusch–Pagan/Koenker e ARCH",sec:diagnosticos-desc,Diagnósticos dos dados e dos resíduos,Variância condicional e forma da distribuição,sec:mat-variancia-forma,692,Secção~\ref{sec:mat-variancia-forma}
M08.05,"Assimetria, curtose e diagnóstico de forma",sec:diagnosticos-desc,Diagnósticos dos dados e dos resíduos,Variância condicional e forma da distribuição,sec:mat-variancia-forma,692,Secção~\ref{sec:mat-variancia-forma}
M08.06,Sazonalidade mensal e eta quadrado,sec:diagnosticos-desc,Diagnósticos dos dados e dos resíduos,Variância condicional e forma da distribuição,sec:mat-variancia-forma,692,Secção~\ref{sec:mat-variancia-forma}
M08.07,"Padronização, PCA e distância no espaço operacional",sec:diagnosticos-desc,Diagnósticos dos dados e dos resíduos,PCA e agrupamento operacional,sec:mat-pca-clusters,714,Secção~\ref{sec:mat-pca-clusters}
M08.08,"k-means, DBSCAN e silhouette",sec:diagnosticos-desc,Diagnósticos dos dados e dos resíduos,PCA e agrupamento operacional,sec:mat-pca-clusters,714,Secção~\ref{sec:mat-pca-clusters}
M08.09,"KDE, sobreposição de densidades e suporte","sec:diagnosticos-desc,sec:referencia-fixa",Diagnósticos dos dados e dos resíduos,Separação de populações e suporte,sec:mat-suporte,651,Secção~\ref{sec:mat-suporte}
M08.10,"Alavancagem, Cook e remoção de semanas",sec:diagnosticos-desc,Diagnósticos dos dados e dos resíduos,Influência e dependência entre vetores,sec:mat-influencia,729,Secção~\ref{sec:mat-influencia}
M08.11,Correlação entre vetores e simultaneidade,"sec:diagnosticos-desc,sec:verdade-conhecida",Diagnósticos dos dados e dos resíduos,Influência e dependência entre vetores,sec:mat-influencia,729,Secção~\ref{sec:mat-influencia}
M09.01,"Intervalo da média, intervalo preditivo e banda de alarme","sec:metricas,sec:calibracao,sec:demo-bandas","Bandas, cobertura e regras de alarme","Centro, largura e objeto da banda",sec:mat-tipos-banda,748,Secção~\ref{sec:mat-tipos-banda}
M09.02,Banda marginal normal e nominal 2 sigma,"sec:calibracao,sec:demo-bandas","Bandas, cobertura e regras de alarme","Centro, largura e objeto da banda",sec:mat-tipos-banda,748,Secção~\ref{sec:mat-tipos-banda}
M09.03,"Cobertura, excursões e intervalos da cobertura","sec:calibracao,sec:implicacoes-plataforma","Bandas, cobertura e regras de alarme",Cobertura marginal e condicional,sec:mat-cobertura,769,Secção~\ref{sec:mat-cobertura}
M09.04,Cobertura condicional e largura das bandas,"sec:calibracao,sec:demo-bandas,sec:referencia-fixa","Bandas, cobertura e regras de alarme",Cobertura marginal e condicional,sec:mat-cobertura,769,Secção~\ref{sec:mat-cobertura}
M09.05,"Rajadas, episódios e regras de sequência","sec:metricas,sec:dashboard,sec:calibracao","Bandas, cobertura e regras de alarme","Sequências, janelas e episódios",sec:mat-regras,784,Secção~\ref{sec:mat-regras}
M09.06,"Resíduos AR(p), centro condicional e BIC",sec:demo-bandas,"Bandas, cobertura e regras de alarme",Centro condicionado por resíduos autorregressivos,sec:mat-ar-bandas,810,Secção~\ref{sec:mat-ar-bandas}
M09.07,Bandas de inovação e fallback marginal,sec:demo-bandas,"Bandas, cobertura e regras de alarme",Centro condicionado por resíduos autorregressivos,sec:mat-ar-bandas,810,Secção~\ref{sec:mat-ar-bandas}
M09.08,"Regressão quantílica, perda assimétrica e não cruzamento","sec:guidelines,sec:demo-bandas","Bandas, cobertura e regras de alarme",Quantis condicionais e envelopes móveis,sec:mat-quantis,823,Secção~\ref{sec:mat-quantis}
M09.09,Envelopes fixos e quantis móveis,sec:referencia-fixa,"Bandas, cobertura e regras de alarme",Quantis condicionais e envelopes móveis,sec:mat-quantis,823,Secção~\ref{sec:mat-quantis}
M10.01,"Candidato, finalidade e decisão não estimável","sec:guidelines,sec:demo-gate",Critérios de aceitação e materialidade,Candidato e estado de decisão,sec:mat-candidato,842,Secção~\ref{sec:mat-candidato}
M10.02,Regra histórica quatro em cinco,"sec:guidelines,sec:demo-gate",Critérios de aceitação e materialidade,Regra histórica de quatro pares em cinco,sec:mat-quatro-cinco,849,Secção~\ref{sec:mat-quatro-cinco}
M10.03,"Compatibilidade, equivalência e não inferioridade","sec:guidelines,sec:limitacoes",Critérios de aceitação e materialidade,"Compatibilidade, equivalência e não inferioridade",sec:mat-equivalencia,869,Secção~\ref{sec:mat-equivalencia}
M10.04,"Potência, erros de decisão e dependência entre pares","sec:demo-gate,sec:limitacoes",Critérios de aceitação e materialidade,"Compatibilidade, equivalência e não inferioridade",sec:mat-equivalencia,869,Secção~\ref{sec:mat-equivalencia}
M11.01,"Resíduo, excesso positivo e acumulado líquido","sec:metricas,sec:dashboard","Referência, estado e monitorização sequencial","Desvio, excesso positivo e acumulado",sec:mat-excesso,886,Secção~\ref{sec:mat-excesso}
M11.02,"Referência congelada, estado e inovação","sec:leitura-integrada,sec:referencia-congelada","Referência, estado e monitorização sequencial","Referência, estado e inovação",sec:mat-tres-canais,905,Secção~\ref{sec:mat-tres-canais}
M11.03,Espaço de estados e filtro de Kalman,"sec:referencia-fixa,sec:verdade-conhecida","Referência, estado e monitorização sequencial","Referência, estado e inovação",sec:mat-tres-canais,905,Secção~\ref{sec:mat-tres-canais}
M11.04,Monitor de resíduo e lateralidade,sec:verdade-conhecida,"Referência, estado e monitorização sequencial",Estatística de resíduo e CUSUM,sec:mat-cusum,943,Secção~\ref{sec:mat-cusum}
M11.05,"CUSUM tabular, estado e reinício","sec:detetabilidade,sec:verdade-conhecida","Referência, estado e monitorização sequencial",Estatística de resíduo e CUSUM,sec:mat-cusum,943,Secção~\ref{sec:mat-cusum}
M11.06,"Monitores de carga, estratos e escala",sec:verdade-conhecida,"Referência, estado e monitorização sequencial","Canais de carga, estratos e escala",sec:mat-monitores-carga-escala,968,Secção~\ref{sec:mat-monitores-carga-escala}
M11.07,Preservação de sinal e projeção do reajuste,"sec:sintese-modos-falha,sec:referencia-fixa","Referência, estado e monitorização sequencial",Preservação de sinal e efeito do reajuste,sec:mat-preservacao,988,Secção~\ref{sec:mat-preservacao}
M11.08,Branqueamento e atenuação de uma mudança,sec:verdade-conhecida,"Referência, estado e monitorização sequencial",Preservação de sinal e efeito do reajuste,sec:mat-preservacao,988,Secção~\ref{sec:mat-preservacao}
M11.09,Estados operacionais da baseline e transições,sec:implicacoes-plataforma,"Referência, estado e monitorização sequencial",Estados operacionais da referência,sec:mat-estados-operacionais,1007,Secção~\ref{sec:mat-estados-operacionais}
M12.01,Gerador de dados e verdade conhecida,sec:verdade-conhecida,"Simulação, falsos sinais e detetabilidade",Gerador e escala conhecida,sec:mat-gerador,1017,Secção~\ref{sec:mat-gerador}
M12.02,Ruído AR(1) com variância marginal fixa,sec:verdade-conhecida,"Simulação, falsos sinais e detetabilidade",Gerador e escala conhecida,sec:mat-gerador,1017,Secção~\ref{sec:mat-gerador}
M12.03,"Degrau, rampa, recuperação, carga e escala","sec:referencia-fixa,sec:verdade-conhecida","Simulação, falsos sinais e detetabilidade",Famílias de mudança,sec:mat-injecoes,1038,Secção~\ref{sec:mat-injecoes}
M12.04,Calibração de limiar por horizonte,sec:verdade-conhecida,"Simulação, falsos sinais e detetabilidade",Calibração de limiar por horizonte,sec:mat-limiares,1050,Secção~\ref{sec:mat-limiares}
M12.05,"Probabilidade de deteção, atraso e censura","sec:detetabilidade,sec:verdade-conhecida","Simulação, falsos sinais e detetabilidade","Deteção, atraso e censura",sec:mat-deteccao,1080,Secção~\ref{sec:mat-deteccao}
M12.06,Desvio mínimo detetável e curva de potência,sec:verdade-conhecida,"Simulação, falsos sinais e detetabilidade",Desvio mínimo detetável,sec:mat-mdd,1091,Secção~\ref{sec:mat-mdd}
M12.07,Contrastes emparelhados por réplica e MCSE,sec:verdade-conhecida,"Simulação, falsos sinais e detetabilidade",Comparações emparelhadas e incerteza Monte Carlo,sec:mat-mc-emparelhado,1109,Secção~\ref{sec:mat-mc-emparelhado}
M12.08,"Ruído multivariado, coocorrência e deteção conjunta","sec:diagnosticos-desc,sec:verdade-conhecida","Simulação, falsos sinais e detetabilidade",Dependência entre vetores e deteção conjunta,sec:mat-simulacao-conjunta,1131,Secção~\ref{sec:mat-simulacao-conjunta}
M12.09,Agregação temporal e correlações em acumulados,sec:verdade-conhecida,"Simulação, falsos sinais e detetabilidade",Agregação temporal e stress,sec:mat-agregacao-stress,1145,Secção~\ref{sec:mat-agregacao-stress}
M12.10,"Stress, máscaras e âmbito de generalização","sec:verdade-conhecida,sec:limitacoes","Simulação, falsos sinais e detetabilidade",Agregação temporal e stress,sec:mat-agregacao-stress,1145,Secção~\ref{sec:mat-agregacao-stress}
