id,bloco,secao,label_proposto,conceito,estado,prioridade,profundidade,origens,fontes_apoio,desenvolver
M02.01,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,Balanços materiais e definição de carga,P,P1,Equação + esquema,"sec:caso-estudo,sec:metricas,sec:validacao-dados",,"Formalização a acrescentar: fronteira, entradas, saídas e acumulação; carga fresca versus reprocessada, componentes e retornos. Fundamentar Q com a definição efetivamente usada; o caso físico no Cap. 2 ainda está incompleto."
M02.02,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,Balanço energético e significado de eficiência,P,P1,Equação + esquema,"sec:processos-continuos,sec:caso-estudo",,"Acrescentar apenas as relações necessárias à CDU: energia de combustível, dever térmico, recuperação e perdas. Q térmico deve ter símbolo distinto da carga. Não apresentar GNE, EII ou resíduo como eficiência termodinâmica ou exergia."
M02.03,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,Combustíveis em gás natural equivalente,T,P1,Equação + unidades,sec:metricas,GNE,"Escrever massa×PCI/PCI_ref por combustível, somas por unidade e período, bases mássica/volúmica e distinção PCI/PCS. Relacionar t de combustível, kcal/kg e t GNE; declarar fonte e vigência dos fatores."
M02.04,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,Produto de médias versus energia integrada,C,P1,Derivação curta,"sec:fontes,sec:metricas",GNE,A implementação consultada combina caudal agregado e PCI médio ao dia. Comparar soma horária de massa×PCI com produto dos agregados; explicitar o termo de covariância e a condição em que desaparece. Não inventar a dimensão do erro nos dados.
M02.05,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,Vapor por nível de pressão e energia equivalente,T,P1,Equação + unidades,"sec:modelo-dimensional,sec:metricas",,"Massa de vapor×equivalente entálpico/PCI_ref; identificar 24/10/3 bar, referência de entalpia, condensados e convenção contabilística. Distinguir consumo bruto, produção creditada e saldo líquido negativo."
M02.06,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,Eletricidade e rendimento de conversão,T,P1,Equação + unidades,sec:metricas,,"MWh→energia térmica→t GNE, com 860,4 Mcal/MWh, 11 820 kcal/kg e rendimento 0,57 segundo o texto. Explicar conversões de milhar e significado de energia final versus combustível equivalente; verificar origem dos parâmetros."
M02.07,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,"Massa, volume, densidade e barris",C,P1,Equação + unidades,sec:metricas,PBI,"Explicitar V=m/densidade, t↔kt, m³↔bbl e densidade relativa; a conversão e a temperatura de referência devem preceder fórmulas com API e fatores por barril."
M02.08,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,"Transformações API, temperatura, pressão e rendimentos",C,P1,Equação + condições,"sec:metricas,sec:suficiencia",PBI,"Mapear API a partir da densidade, °C/°F, pressão manométrica/absoluta e mmHg, rendimento mássico/volúmico. O ramo CC consultado usa flash já em °F e logaritmo de pressão convertido à unidade convencionada; conferir antes de transcrever."
M02.09,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,Consumo específico e média ponderada,C,P1,Derivação curta,"sec:enb-cadeia,sec:metricas,sec:dashboard",PBI,"Rácio de totais sobre os mesmos dias operacionais; mostrar equivalência à média dos rácios diários ponderada pela carga, e diferença da média aritmética. Derivar E/Q=a+b/Q+erro/Q para ligar rácio e regressão."
M02.10,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,Normalização energética e desvio à referência,T,P1,Equação + exemplo,"sec:enb-par,sec:metricas,sec:leitura-integrada",,"Definir consumo esperado à carga observada, comparação a condições comuns, desvio absoluto e relativo. Fixar qual normalização é efetivamente usada; nenhuma regressão histórica define por si consumo ótimo ou poupança causal."
M02.11,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,"EII: razão, energia padrão e função da CDU",C,P1,Equação + algoritmo,"sec:metricas,sec:dashboard",PBI,"EII=100×consumo/energia padrão; energia padrão por carga×fator; ramo CDU dependente de densidade, API, flash e resíduo, com teto por partes. Transcrever convenção executada e verificar separadamente conformidade com documentação Solomon."
M02.12,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,"Agregação de EII, quartis e decomposição por vetor",C,P2,Equação,"sec:metricas,sec:dashboard",PBI,"Rácio de somas, ponderação por energia padrão, contributos aditivos por vetor e guardas de dias válidos. Distinguir quartis externos de quantis da amostra; a média simples de índices não substitui o índice agregado."
M02.13,G.2,Grandezas físicas e indicadores energéticos,sec:mat-energia,Emissões calculadas e âmbito dos fatores,C,P1,Equação + unidades,"sec:metricas,sec:dashboard",PBI,Soma do GNE líquido por vetor×fator de emissão e conversão t→kt. Declarar unidades e fonte dos fatores e o âmbito das emissões atribuídas; a expressão computacional não demonstra equivalência a inventário físico de CO₂.
M03.01,G.3,"Contagens, bibliometria e redes",sec:mat-bibliometria,Conjuntos de publicações e fluxo PRISMA,T,P1,Equação + esquema,"sec:pesquisa,sec:corpus-a",,"A, B, união, interseção, diferenças, cardinalidades e inclusão–exclusão; identidade única da publicação. B previsto como subconjunto e B observado são objetos distintos; fluxos de seleção precisam de denominadores e exclusões disjuntas."
M03.02,G.3,"Contagens, bibliometria e redes",sec:mat-bibliometria,Recuperação de textos e disponibilidade por grupo,T,P1,Equação,"sec:pesquisa,sec:corpus-a",,Taxa de recuperação condicionada a DOI/classificação e cobertura de metadados por fornecedor. A diferença entre grupos descreve seleção observada; não identifica elegibilidade nem taxa de erro dos textos não recuperados.
M03.03,G.3,"Contagens, bibliometria e redes",sec:mat-bibliometria,Frequências multirrótulo e cruzamentos,C,P1,Equação + exemplo,sec:corpus-a,BF,"Matriz publicação×categoria, soma de indicadores, denominadores total/disponível/comum e contagem uma vez por célula. Percentagens podem somar mais de 100%; dado ausente difere de ausência explícita da característica."
M03.04,G.3,"Contagens, bibliometria e redes",sec:mat-bibliometria,Interseções exatas e contagem fracionada,C,P1,Equação + exemplo,sec:corpus-a,BF,"Combinações exatas no UpSet versus coocorrência inclusiva. No aluvial, cada publicação distribui peso 1 pelas combinações setor×modelo×norma; demonstrar conservação de massa e explicitar agrupamento em Outros."
M03.05,G.3,"Contagens, bibliometria e redes",sec:mat-bibliometria,Matrizes de incidência e projeções de rede,C,P2,Equação,sec:corpus-a,BN,"Nós, arestas, direção, peso, diagonal e contagem binária por publicação. Coocorrência de termos e coautoria/afiliação como projeções; distinguir número de publicações, ligações, grau e força ponderada."
M03.06,G.3,"Contagens, bibliometria e redes",sec:mat-bibliometria,"Citação direta, acoplamento e cocitação",C,P2,Equação + esquema,sec:corpus-a,BN,"Distinguir as três relações; acoplamento por referências comuns normalizado pela raiz do produto dos tamanhos das listas, mínimo duas partilhadas na implementação. Delimitar cobertura das referências indexadas e recortes das projeções."
M03.07,G.3,"Contagens, bibliometria e redes",sec:mat-bibliometria,Modularidade e comunidades,C,P2,Equação + algoritmo,sec:corpus-a,BN,"Objetivo de modularidade ponderada e otimização gulosa; resolução, limiares de ocorrência e poda de nós. Comunidades e posições no layout não são categorias metodológicas validadas nem distâncias físicas."
M03.08,G.3,"Contagens, bibliometria e redes",sec:mat-bibliometria,TF–IDF e fatorização não negativa de tópicos,C,P2,Equação + algoritmo,sec:corpus-a,BN,"A exploração de tópicos mencionada no texto usa TF–IDF e NMF no código consultado. Especificar vocabulário, n-gramas, pesos, normalização, matriz≈W×H e atribuição dominante; verificar se estes resultados entrarão na versão final."
M03.09,G.3,"Contagens, bibliometria e redes",sec:mat-bibliometria,"Evolução temporal, citações e concentração",T,P2,Definição,sec:corpus-a,"BF,BN","Contagens anuais e por janelas fixas, concentração nas fontes mais frequentes, mediana de citações à data da consulta. Não comparar ano parcial a ano completo sem qualificação nem fundir contagens de fornecedores."
M04.01,G.4,Auditoria da revisão e controlo da extração,sec:mat-auditoria-revisao,"Taxas de divergência, alteração e fundamentação",P,P1,Equação,"sec:pesquisa,app:validacao",V,"Desenvolver D_v/N_v, alterações após revelação, discrepâncias humano–IA e taxa de grounding com denominador por instrumento/campo. O protocolo existe; a tese ainda não documenta a execução completa. Concordância não equivale a acerto."
M04.02,G.4,Auditoria da revisão e controlo da extração,sec:mat-auditoria-revisao,"União de detetores, censos e fecho iterativo",P,P1,Conjuntos + algoritmo,"sec:pesquisa,app:validacao",V,"União de sinalizações de modelos, léxico e passagem de recall; candidatos novos, verificação humana e fecho. Censo exaure a união definida, não falsos negativos invisíveis; contagens censitárias ficam separadas da amostra."
M04.03,G.4,Auditoria da revisão e controlo da extração,sec:mat-auditoria-revisao,Amostragem aleatória de artigos e erro por campo,P,P1,Equação + algoritmo,app:validacao,V,"SRS de 40 publicações no protocolo C-2.3; unidade sorteada é artigo e unidade de erro é célula. Definir n_v elegível, concordante e não censado, erros e_v e casos n_v=0. Não usar e_v/40 quando o campo tem menos casos."
M04.04,G.4,Auditoria da revisão e controlo da extração,sec:mat-auditoria-revisao,Erro binário e dados multisseleção,P,P1,Definição,app:validacao,V,"Comparação após normalização; enum/bool, conjunto de etiquetas, texto substantivo, null e não aplicável. Uma diferença de conjunto conta como um erro do campo; não é F1 nem número de etiquetas erradas."
M04.05,G.4,Auditoria da revisão e controlo da extração,sec:mat-auditoria-revisao,"Modelo binomial, intervalo Clopper–Pearson e população finita",P,P1,Equação + pressupostos,"app:validacao,sec:protocolo-baselines",V,Intervalo exato por campo sob modelo binomial; discutir amostragem sem reposição e referência hipergeométrica. CP referido pelo protocolo não deve ser apresentado como cobertura simultânea nem como limite determinista de erros por encontrar.
M04.06,G.4,Auditoria da revisão e controlo da extração,sec:mat-auditoria-revisao,"Zero erros, limite unilateral e tamanho amostral",P,P1,Derivação curta,app:validacao,V,"Distinguir limite unilateral 1−α^(1/n) de limite bilateral 1−(α/2)^(1/n); regra de três apenas aproximada. Zero erros em 40 implica limites diferentes (~7,2% e ~8,8%), não certificação de erro zero."
M04.07,G.4,Auditoria da revisão e controlo da extração,sec:mat-auditoria-revisao,Gatilhos de revisão e probabilidade de acionamento,P,P2,Equação,app:validacao,V,"Regra e_v≥3, denominador, custo e P(Bin(n_v,p)≥3); distinguir regra de ação de teste de aceitação. Não agregar censos dirigidos e SRS numa taxa única."
M04.08,G.4,Auditoria da revisão e controlo da extração,sec:mat-auditoria-revisao,"Repetição, instabilidade e limites do recall",P,P2,Equação + algoritmo,"app:validacao,app:protocolo-sr","V,VP","Taxas de flip canary e teste–reteste; M/S e gatilho M/S>0,10 ou M≥5 no snowballing, caso S=0 e fecho sem novos incluídos. São instrumentos diferentes; nenhum certifica recall global ou elimina erro humano."
M05.01,G.5,"Regressão, estimação e modelos comparadores",sec:mat-regressao,"Modelo linear, matriz de desenho e mínimos quadrados",C,P1,Equação + derivação,"sec:enb-cadeia,sec:replicacao,sec:suficiencia","OLS,LIN","E=Xβ+ε, função objetivo, solução de mínimos quadrados, posto e identificabilidade; regressão anual com intercepto e unidade dos coeficientes. Distinguir algoritmo numérico de propriedades probabilísticas do estimador."
M05.02,G.5,"Regressão, estimação e modelos comparadores",sec:mat-regressao,"RSS, TSS, R² e R² fora do treino",C,P1,Equação + condições,"sec:enb-cadeia,sec:replicacao,sec:poder-preditivo",OLS,"Definir somas de quadrados e coeficiente de determinação, variância nula e possibilidade de R² negativo em avaliação. R² não exige normalidade para ser calculado e não mede calibração/deteção; distinguir R² centrado e não centrado."
M05.03,G.5,"Regressão, estimação e modelos comparadores",sec:mat-regressao,Escala residual e graus de liberdade,C,P1,Equação,"sec:replicacao,sec:metricas","OLS,DAX","Sigma residual=sqrt(RSS/(n−2)) na regressão simples consultada; generalização pelo posto p. Separar desvio residual, RMSE, escala robusta, escala cross-fit e escala de inovação. Verificar mínimos de cálculo versus mínimos de utilização."
M05.04,G.5,"Regressão, estimação e modelos comparadores",sec:mat-regressao,"Reta pela origem, constante e rácio específico",C,P1,Derivação curta,"sec:corpus-a,sec:referencia-fixa",LIN,"Média histórica, regressão com intercepto e OLS pela origem são comparadores distintos. Mostrar a_pela_origem=sum(QE)/sum(Q²), diferente de sum(E)/sum(Q) e da mediana de E/Q. Identificar os cinco normalizadores citados."
M05.05,G.5,"Regressão, estimação e modelos comparadores",sec:mat-regressao,Modelos encaixados e valor incremental de covariáveis,T,P1,Equação,"sec:suficiencia,sec:guidelines",,"Modelo Q e modelo Q+Z no mesmo treino e teste completos; transformação determinista API/densidade, redundância e multicolinearidade. Mais regressores reduzem RSS de treino sob o mesmo domínio, sem garantir melhoria temporal."
M05.06,G.5,"Regressão, estimação e modelos comparadores",sec:mat-regressao,"Huber, perda robusta e escala MAD",T,P1,Equação + algoritmo,"sec:guidelines,sec:demo-robustos",,"Funções de perda e influência, constante 1,345, MAD e fator de consistência, atualização iterativa e convergência. Confirmar variante exata do código e distinguir robustez a resíduos extremos de resistência a alavancagem."
M05.07,G.5,"Regressão, estimação e modelos comparadores",sec:mat-regressao,Theil–Sen e convenção do intercepto,T,P2,Equação + algoritmo,"sec:guidelines,sec:demo-robustos",,"Mediana de declives entre pares com cargas distintas, empates, intercepto e escala residual. Conferir implementação exata antes de escrever; não chamar a todo o procedimento livre de pressupostos."
M05.08,G.5,"Regressão, estimação e modelos comparadores",sec:mat-regressao,"GAM, bases spline, penalização e graus de liberdade efetivos",C,P1,Equação + algoritmo,sec:verdade-conhecida,GAM,"Modelo aditivo por funções suaves, bases e penalidade, hiperparâmetros escolhidos no treino, interação por produto tensorial. O GAM já participa na simulação, embora também apareça no roteiro futuro; documentar a variante citada."
M05.09,G.5,"Regressão, estimação e modelos comparadores",sec:mat-regressao,"Erro de medição, endogeneidade e causalidade",T,P1,Definição + exemplo,"sec:suficiencia,sec:limitacoes",,"Explicitar regressão como associação condicional; erro na carga, variáveis omitidas, reação da operação e covariável mediadora. Uma equação de limitação basta; não acrescentar modelos causais ou correções não executadas."
M06.01,G.6,"Avaliação temporal, perdas e comparação",sec:mat-avaliacao-temporal,"Treino, aplicação e informação disponível",T,P1,Conjuntos + algoritmo,"sec:protocolo-baselines,sec:poder-preditivo",,"Definir cinco pares anuais, corte de 2026, afinação interna e informação disponível no instante t. Separar aplicação à carga contemporânea observada de previsão ex ante e de validação independente da seleção metodológica."
M06.02,G.6,"Avaliação temporal, perdas e comparação",sec:mat-avaliacao-temporal,Referências triviais e respetivos domínios,C,P1,Equação + algoritmo,sec:poder-preditivo,CFG,"Média de treino, mesmo dia civil do ano anterior, média dos 30 dias civis anteriores; ano bissexto e janela completa. Para eletricidade, média mensal, mês homólogo e mês anterior; cada comparador pode ter população diferente."
M06.03,G.6,"Avaliação temporal, perdas e comparação",sec:mat-avaliacao-temporal,"MAE, RMSE, viés, NMBE e CV(RMSE)",T,P1,Equação + unidades,"sec:assimetria-comparacao,sec:poder-preditivo",,Fixar sinais e denominadores; métricas empíricas versus convenções de graus de liberdade em protocolos de M&V. Normalização pela média exige denominador admissível; as variantes normativas carecem de edição/cláusula antes de transcrição.
M06.04,G.6,"Avaliação temporal, perdas e comparação",sec:mat-avaliacao-temporal,Diferença emparelhada de perdas e skill,T,P1,Equação + exemplo,"sec:poder-preditivo,sec:suficiencia,sec:demo-robustos",,"Definir d_t=perda_comparador−perda_modelo, delta=média(d_t) e skill relativo; direção favorável, unidades e comparador com perda zero. Manter os mesmos dias por par; número de vitórias não equivale a ganho agregado."
M06.05,G.6,"Avaliação temporal, perdas e comparação",sec:mat-avaliacao-temporal,Cross-fitting em blocos e estimação de escala,C,P1,Algoritmo,"sec:protocolo-baselines,sec:referencia-fixa",REF,"Seis blocos contíguos de 2020, reestimar nos restantes e reunir erros omitidos. Distinguir esta rotação da validação cronológica, buffers e famílias adaptativas; declarar condicionamento nos hiperparâmetros e suporte do ajuste de cada bloco."
M06.06,G.6,"Avaliação temporal, perdas e comparação",sec:mat-avaliacao-temporal,"Referência fixa, reajustes móveis e janela expansiva",T,P1,Equação + cronologia,sec:referencia-fixa,,"Formalizar que parâmetros/escala/estado ficam fixos, origens de refit e janelas de 6/12/24 meses. Resultados de lotes assinalados como não finais continuam pendentes; descrever desenho sem promover conclusões qualitativas inválidas."
M06.07,G.6,"Avaliação temporal, perdas e comparação",sec:mat-avaliacao-temporal,Grelha de sensibilidade e mudança de estimando,T,P1,Conjuntos + algoritmo,"sec:protocolo-baselines,sec:sintese-modos-falha",,"Produto de limiares e âncoras anuais; distinguir perturbação da seleção, mudança de período e variação Monte Carlo da semente. Reportar efeitos/IC além de rótulos; âncora julho–junho também muda meses incluídos no caso atual."
M07.01,G.7,Inferência sob dependência e multiplicidade,sec:mat-inferencia,"Intervalos de confiança, hipóteses e valores p",T,P1,Definição + exemplo,"sec:enb-cadeia,sec:protocolo-baselines,sec:limitacoes",,"Nível de confiança, hipótese nula, estatística e referência; erro tipo I, potência e precisão. Não rejeição difere de equivalência; intervalo largo que contém a referência não demonstra adequação."
M07.02,G.7,Inferência sob dependência e multiplicidade,sec:mat-inferencia,Covariância HAC e kernel quadrático-espectral,C,P1,Equação + algoritmo,"sec:protocolo-baselines,sec:estabilidade","INF,CFG","Matriz sandwich, produtos de scores por desfasamento civil, kernel QS, largura Andrews AR(1), correção finita e sensibilidades. Documentar tratamento de lacunas e condições da aproximação; HAC não corrige quebras arbitrárias."
M07.03,G.7,Inferência sob dependência e multiplicidade,sec:mat-inferencia,"Wald empilhado, contrastes de declive e nível",T,P1,Equação + algoritmo,sec:estabilidade,,"Desenho por interações ano×carga, matriz de restrições, W e graus de liberdade; famílias separadas de declive/nível. Mostrar predições a carga comum com incerteza; não interpretar intercepto extrapolado como carga térmica de base."
M07.04,G.7,Inferência sob dependência e multiplicidade,sec:mat-inferencia,"Benjamini–Hochberg, Benjamini–Yekutieli e FDR",T,P1,Equação + algoritmo,"sec:protocolo-baselines,sec:estabilidade",,"Definir família, ordenação dos valores p, valores ajustados e FDR. Distinguir condições BH, proteção BY e inferência por contraste fora dessas famílias; contar IC individuais não cria uma conclusão simultânea."
M07.05,G.7,Inferência sob dependência e multiplicidade,sec:mat-inferencia,Bootstrap de blocos móveis em calendário irregular,C,P1,Algoritmo + equação,"sec:protocolo-baselines,sec:poder-preditivo",INF,"Blocos candidatos definidos por duração civil, retendo observações disponíveis; sorteio, concatenação até n e truncagem final. O código consultado não exige que cada bloco tenha observações em todos os dias: documentar número variável de pontos por bloco."
M07.06,G.7,Inferência sob dependência e multiplicidade,sec:mat-inferencia,"Intervalos percentil, objeto reamostrado e condicionamento",T,P1,Equação + algoritmo,"sec:protocolo-baselines,sec:calibracao",,"Quantis das réplicas, número B, semente e emparelhamento; perdas/indicadores de modelos fixos versus reestimação de treino. Não apresentar IC condicional como incerteza de todo o processo de construção e seleção."
M07.07,G.7,Inferência sob dependência e multiplicidade,sec:mat-inferencia,Bootstrap residual sob hipótese nula,T,P1,Algoritmo,sec:estabilidade,,"Ajuste restrito, resíduos, blocos, reconstrução da resposta, reestimação e máximo de contrastes; esclarecer diferença de alvo relativamente ao bootstrap de perdas e critérios da rota alternativa de estabilidade."
M07.08,G.7,Inferência sob dependência e multiplicidade,sec:mat-inferencia,Cobertura simulada de intervalos e erro Monte Carlo,T,P1,Equação + exemplo,"sec:protocolo-baselines,sec:limitacoes",SIM,"Cobertura empírica, Wilson/CP conforme objetivo, MCSE e incerteza finita; separar 400 réplicas de avaliação de 2 000 reamostragens. O ensaio 357/400 não demonstra cobertura nominal de 95% nem valida o bloco base a partir de bloco 60."
M08.01,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,Diferença padronizada de médias,T,P1,Equação,sec:perfil-dados,,"Definir SMD e denominador de dispersão usados para retidos/removidos; sinais, módulo e variância quase nula. Separação estatística não identifica regime físico; confirmar fórmula no produtor dos resultados."
M08.02,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,"ACF, PACF e dimensão amostral efetiva",C,P1,Equação + algoritmo,"sec:perfil-dados,sec:diagnosticos-desc",CFG,"Desfasamentos civis exatos, pares disponíveis, PACF e convenções; dimensão efetiva apenas ilustrativa e específica do estimando. Dependência altera sequências e precisão, não implica automaticamente perda de cobertura marginal."
M08.03,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,Durbin–Watson e Ljung–Box,C,P2,Equação + pressupostos,sec:diagnosticos-desc,CFG,"Estatísticas e referências clássicas, lag civil versus linhas adjacentes, graus de liberdade ajustados. Reportar como contraste técnico quando a calibração inferencial não é defensável; um valor p inválido não se reabilita por se chamar descritivo."
M08.04,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,"Heterocedasticidade, Breusch–Pagan/Koenker e ARCH",C,P2,Equação + pressupostos,sec:diagnosticos-desc,CFG,"Variância condicional, regressões auxiliares, estatísticas e lags; desvio móvel de 30 dias com mínimo de pontos. Diferenciar heterogeneidade com carga e dependência temporal dos quadrados dos resíduos."
M08.05,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,"Assimetria, curtose e diagnóstico de forma",C,P2,Equação,sec:diagnosticos-desc,CFG,"Momentos normalizados, excesso de curtose com correção amostral, caudas e RESET com potência quadrática. Separar descrição marginal, forma da média e inferência; conferir eventual inclusão de testes de normalidade apenas no código."
M08.06,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,Sazonalidade mensal e eta quadrado,C,P2,Equação,sec:diagnosticos-desc,CFG,"Decomposição de variância entre/dentro de meses e eta²; efeito descritivo em dias disponíveis, com meses e denominadores. Não atribuir validade de ANOVA iid a séries dependentes."
M08.07,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,"Padronização, PCA e distância no espaço operacional",C,P2,Equação + algoritmo,sec:diagnosticos-desc,CFG,"Z-scores com parâmetros de ajuste, matriz de covariância/correlação, autovetores e variância explicada; o código configura quatro componentes e agrupamento em três. Tornar explícita a transformação que precede os clusters."
M08.08,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,"k-means, DBSCAN e silhouette",C,P2,Equação + algoritmo,sec:diagnosticos-desc,CFG,"Objetivo intra-cluster, centroides, distância, vizinhança/densidade e ruído; seleção de k e silhouette. Descrever parâmetros e estabilidade; grupos geométricos não equivalem a regimes operacionais."
M08.09,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,"KDE, sobreposição de densidades e suporte",C,P1,Equação + algoritmo,"sec:diagnosticos-desc,sec:referencia-fixa","CFG,REF","Densidades por kernel, bandwidth Scott, integral do mínimo, intervalo min–max e suporte central. Diferenciar overlap marginal, caixa multivariada e região conjunta bem amostrada; quantificar fração fora do suporte."
M08.10,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,"Alavancagem, Cook e remoção de semanas",C,P2,Equação + algoritmo,sec:diagnosticos-desc,CFG,"Diagonal da matriz de projeção, distância de Cook e limiar heurístico; refit omitindo semanas ISO, variação da previsão a cargas comuns e mudanças de sinal. Influência no declive quase nulo difere de impacto operacional grande."
M08.11,G.8,"Diagnóstico de resíduos, suporte e influência",sec:mat-diagnosticos,Correlação entre vetores e simultaneidade,C,P1,Equação,"sec:diagnosticos-desc,sec:verdade-conhecida","CFG,JOINT","Pearson, Spearman, amostra comum, padronização anual e número de vetores em excursão; lateralidade. Distinguir dependência de sinais, magnitude absoluta, causalidade e número de evidências independentes."
M09.01,G.9,"Bandas, cobertura e regras de alarme",sec:mat-bandas,"Intervalo da média, intervalo preditivo e banda de alarme",T,P1,Equação + exemplo,"sec:metricas,sec:calibracao,sec:demo-bandas",,"Distinguir objeto aleatório, centro, largura e nível; explicar termo adicional de variância do erro numa predição individual e influência da carga. Banda constante não é automaticamente intervalo preditivo clássico."
M09.02,G.9,"Bandas, cobertura e regras de alarme",sec:mat-bandas,Banda marginal normal e nominal 2 sigma,T,P1,Equação,"sec:calibracao,sec:demo-bandas",,"Centro f(Q), limites ±2s, referência 2Φ(2)−1≈0,9545 e diferença de 95%. Declarar incerteza de parâmetros e escala; separar cobertura marginal de cobertura condicionada no passado."
M09.03,G.9,"Bandas, cobertura e regras de alarme",sec:mat-bandas,"Cobertura, excursões e intervalos da cobertura",T,P1,Equação + exemplo,"sec:calibracao,sec:implicacoes-plataforma",,"Indicador de estar dentro da banda, n/N, excursões superior/inferior e IC MBB. Na mesma população, cobertura=1−fração fora; ambas exigem contexto externo para separar mudança real e defeito da banda."
